ENTREZ_GENE_ID,INCHIKEY_DESALT,CANONICAL_SMILES_DESALT,RESULT_VALUE_min,dataset,PDB_CODE,PKL,pair,cv1|cvset,cv1|tthresh,cv1|cthresh,cv1|source,cv2|cvset,cv2|tthresh,cv2|cthresh,cv2|source,cv3|cvset,cv3|tthresh,cv3|cthresh,cv3|source,cv4|cvset,cv4|tthresh,cv4|cthresh,cv4|source,cv5|cvset,cv5|tthresh,cv5|cthresh,cv5|source,status,metal_lgd,ligand,hdf_id
W8TRN9,4to8,OC(=O)C(CC(=O)O)(CC(=O)O)O,10.960305042651658,PDBBIND,4to8,False,W8TRN9|4to8,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(FLC),W8TRN9|4to8
P05089,4fci,[NH3+][C@H](C(=O)O)CNC(N)N,10.914253340791776,PDBBIND,4fci,False,P05089|4fci,,,,,training,,,,,,,,training,,,,,,,,desalted,0.0,(GPA),P05089|4fci
P05089,4fck,[NH3+][C@H](C(=O)O)CNC(N)N,10.914253340791776,PDBBIND,4fck,False,P05089|4fck,,,,,training,,,,,,,,training,,,,,,,,desalted,0.0,(GPA),P05089|4fck
Q96PN6,4clp,O[C@@H]1[C@@H]2OP(O)(O)OC[C@H]2O[C@H]1n1cnc2c1ncnc2N,10.891227489861837,PDBBIND,4clp,False,Q96PN6|4clp,training,,,,training,,,,training,,,,,,,,,,,,protein,0.0,(CMP),Q96PN6|4clp
Q54873,1f9g,OC[C@H]([C@H]1OC(=O)C(=C1O)O)O,10.868201638931897,PDBBIND,1f9g,False,Q54873|1f9g,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(ASC),Q54873|1f9g
P22340,1a0t,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,10.822149937072014,PDBBIND,1a0t,False,P22340|1a0t,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(SUC),P22340|1a0t
P56868,1b74,NC(=O)CC[C@H](C(=O)O)[NH3+],10.822149937072014,PDBBIND,1b74,False,P56868|1b74,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(DGN),P56868|1b74
P21642,2fah,OC(=O)CC(=O)O,10.822149937072014,PDBBIND,2fah,False,P21642|2fah,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(MLA),P21642|2fah
P52011,2igw,[NH3+]CC(=O)N1CCC[C@H]1C(=O)O,10.799124086142076,PDBBIND,2igw,False,P52011|2igw,training,,,,training,,,,training,,,,,,,,training,,,,protein,0.0,(2-mer),P52011|2igw
P00760,5mnc,Nc1ccccc1,10.799124086142076,PDBBIND,5mnc,False,P00760|5mnc,training,,,,,,,,training,,,,,,,,,,,,desalted,0.0,(ANL),P00760|5mnc
P00760,5mny,Nc1ccccc1,10.799124086142076,PDBBIND,5mny,False,P00760|5mny,training,,,,,,,,training,,,,,,,,,,,,desalted,0.0,(WOT),P00760|5mny
P00760,5moo,Nc1ccccc1,10.799124086142076,PDBBIND,5moo,False,P00760|5moo,training,,,,,,,,training,,,,,,,,,,,,desalted,0.0,(WOT),P00760|5moo
Q96W94,2vl1,OC(=O)CNC(=O)C[NH3+],10.707020682422312,PDBBIND,2vl1,False,Q96W94|2vl1,training,,,,training,,,,training,,,,validation,0,0.2,PDBBIND,training,,,,desalted,0.0,(2-mer),Q96W94|2vl1
Q9ZMY2,3nm6,OCC(CO)(CO)[NH3+],10.707020682422312,PDBBIND,3nm6,False,Q9ZMY2|3nm6,training,,,,training,,,,training,,,,validation,random,0.6,PDBBIND,training,,,,protein,0.0,(TRS),Q9ZMY2|3nm6
P06169,1qpb,NC(=O)C(=O)C,10.683994831492372,PDBBIND,1qpb,False,P06169|1qpb,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(PYM),P06169|1qpb
Q24451,1hty,C[C@H](CC(O)(C)C)O,10.591891427772609,PDBBIND,1hty,False,Q24451|1hty,training,,,,,,,,training,,,,training,,,,training,,,,desalted,0.0,(TRS),Q24451|1hty
6714,KRKNYBCHXYNGOX-UHFFFAOYSA-N,OC(=O)C(CC(=O)O)(CC(=O)O)O,10.591891427772609,PDBBIND,1o4l,True,6714|KRKNYBCHXYNGOX-UHFFFAOYSA-N,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(CIT),6714|1o4l
6714,OFOBLEOULBTSOW-UHFFFAOYSA-N,OC(=O)CC(=O)O,10.591891427772609,PDBBIND,1o4m,True,6714|OFOBLEOULBTSOW-UHFFFAOYSA-N,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(MLA),6714|1o4m
6714,MUBZPKHOEPUJKR-UHFFFAOYSA-N,OC(=O)C(=O)O,10.591891427772609,PDBBIND,1o4n,True,6714|MUBZPKHOEPUJKR-UHFFFAOYSA-N,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(OXD),6714|1o4n
P00811,2hdq,OC(=O)c1cccs1,10.591891427772609,PDBBIND,2hdq,False,P00811|2hdq,,,,,test,random,0.4,PDBBIND,test,random,0.4,PDBBIND,training,,,,training,,,,protein,0.0,(C21),P00811|2hdq
P62617,3eor,OC[C@@H](Cn1ccc(=N)[nH]c1=O)OCP(O)(O)O,10.591891427772609,PDBBIND,3eor,False,P62617|3eor,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(CFV),P62617|3eor
Q8A712,3e81,OC[C@H]([C@H]([C@@H]1O[C@@](O)(C[C@@H]([C@H]1NC(=O)C)O)C(=O)O)O)O,10.522813874982788,PDBBIND,3e81,False,Q8A712|3e81,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(SLB),Q8A712|3e81
Q43088,1ozv,[NH3+]CCCC[C@@H](C(=O)O)[NH3+],10.49978802405285,PDBBIND,1ozv,False,Q43088|1ozv,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(LYS),Q43088|1ozv
P00760,1utp,[NH3+]CCCCc1ccccc1,10.49978802405285,PDBBIND,1utp,False,P00760|1utp,training,,,,,,,,training,,,,,,,,,,,,desalted,0.0,(PBN),P00760|1utp
Q9I4L4,5eb3,OCc1c(CO)cnc(c1O)C,10.476762173122907,PDBBIND,5eb3,False,Q9I4L4|5eb3,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(UEG),Q9I4L4|5eb3
P00760,1tnk,[NH3+]CCCc1ccccc1,10.384658769403147,PDBBIND,1tnk,False,P00760|1tnk,training,,,,,,,,training,,,,,,,,,,,,protein,0.0,(PRA),P00760|1tnk
Q5EP31,4bh4,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@H]([C@@H]([C@H]2O)NC(=O)C)O)[C@@H]([C@H]([C@H]1O)O[C@@]1(C[C@H](O)[C@H]([C@@H](O1)[C@@H]([C@@H](CO)O)O)NC(=O)C)C(=O)O)O,10.384658769403147,PDBBIND,4bh4,False,Q5EP31|4bh4,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(3-mer),Q5EP31|4bh4
Q8CHT0,4lh3,OC(=O)CCCC(=O)O,10.315581216613325,PDBBIND,4lh3,False,Q8CHT0|4lh3,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(GUA),Q8CHT0|4lh3
P14210,5ct1,OS(CC[NH2+]C1CCCCC1)(O)O,10.315581216613325,PDBBIND,5ct1,False,P14210|5ct1,,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(NHE),P14210|5ct1
P01556,5ele,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H]([C@@H]([C@H]2O[C@@H]2O[C@@H](C)[C@H]([C@H]([C@@H]2O)O)O)NC(=O)C)O)[C@@H]([C@H]([C@H]1O)O[C@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1NC(=O)C)O)O)O[C@@H]1O[C@@H](C)[C@H]([C@H]([C@@H]1O)O)O,10.315581216613325,PDBBIND,5ele,False,P01556|5ele,training,,,,training,,,,,,,,training,,,,training,,,,desalted,0.0,(5-mer),P01556|5ele
P53396,3mwe,O[C@H]([C@H](C(=O)O)O)C(=O)O,10.269529514753444,PDBBIND,3mwe,False,P53396|3mwe,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(TLA),P53396|3mwe
Q9STC1,4amw,OC[C@]1(F)OC=C([C@H]([C@@H]1O)O)O,10.246503663823505,PDBBIND,4amw,False,Q9STC1|4amw,validation,0,0.4,PDBBIND,training,,,,training,,,,training,,,,training,,,,protein,0.0,(5DI),Q9STC1|4amw
P04789,1iig,OC(=O)CCP(O)(O)O,10.200451961963623,PDBBIND,1iig,False,P04789|1iig,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(3PP),P04789|1iig
P24182,3rup,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N,10.200451961963623,PDBBIND,3rup,False,P24182|3rup,training,,,,,,,,,,,,training,,,,,,,,desalted,0.0,(ADP),P24182|3rup
P14210,5cs5,OS(CC[N@@H+]1CC[N@H+](CC1)CCS(O)(O)O)(O)O,10.177426111033682,PDBBIND,5cs5,False,P14210|5cs5,,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(PIN),P14210|5cs5
O43175,5ofv,Fc1ccc(c(c1)C(=O)O)C,10.177426111033682,PDBBIND,5ofv,False,O43175|5ofv,,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(9TZ),O43175|5ofv
P74325,2b1q,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,10.154400260103742,PDBBIND,2b1q,False,P74325|2b1q,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(TRE),P74325|2b1q
P62937,1w8m,CCOC(=O)C(=O)N1CCCCC1,10.131374409173803,PDBBIND,1w8m,False,P62937|1w8m,training,,,,training,,,,training,,,,training,,,,,,,,protein,0.0,(E1P),P62937|1w8m
Q93J45,3itc,OC(=O)C(CC(=O)O)(CC(=O)O)O,10.131374409173803,PDBBIND,3itc,False,Q93J45|3itc,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(CIT),Q93J45|3itc
P00915,2it4,OC(=O)P(O)(O)O,10.08532270731392,PDBBIND,2it4,False,P00915|2it4,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(PPF),P00915|2it4
P25910,1a7t,OS(=O)(=O)CC[NH+]1CCOCC1,10.03927100545404,PDBBIND,1a7t,False,P25910|1a7t,,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(MES),P25910|1a7t
Q2TLC1,4d63,OC[C@H]([C@H]([C@@H]1O[C@](O)(C[C@@H]([C@H]1NC(=O)C)O)C(=O)O)O)O,10.03927100545404,PDBBIND,4d63,False,Q2TLC1|4d63,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(SIA),Q2TLC1|4d63
P03437,1hgj,[NH3+]C[C@H]([C@H]([C@@H]1O[C@](OC)(C[C@@H]([C@H]1NC(=O)C)O)C(=O)O)O)O,9.993219303594158,PDBBIND,1hgj,False,P03437|1hgj,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(AMN),P03437|1hgj
P08661,1rdj,O[C@@H]1[C@H](C)O[C@@H]([C@H]([C@@H]1O)O)O,9.993219303594158,PDBBIND,1rdj,False,P08661|1rdj,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(MFB),P08661|1rdj
P22505,2o9r,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@@H]1S[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O,9.947167601734275,PDBBIND,2o9r,False,P22505|2o9r,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(TCB),P22505|2o9r
Q6PL18,4qsw,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1CC(=C)C(=O)NC1=O,9.947167601734275,PDBBIND,4qsw,False,Q6PL18|4qsw,,,,,training,,,,,,,,training,,,,validation,0,0.4,PDBBIND,protein,0.0,(38T),Q6PL18|4qsw
P10724,2sfp,CCC(=O)O,9.901115899874396,PDBBIND,2sfp,False,P10724|2sfp,training,,,,training,,,,validation,10,0.4,PDBBIND,training,,,,training,,,,protein,0.0,(PPI),P10724|2sfp
Q96ZY1,3gf2,OC(=O)c1ccccc1O,9.901115899874396,PDBBIND,3gf2,False,Q96ZY1|3gf2,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(SAL),Q96ZY1|3gf2
------,3oay,OC[C@@]1(O)OC[C@H]([C@H]([C@@H]1O)O)O,9.901115899874396,PDBBIND,3oay,False,------|3oay,training,,,,training,,,,,,,,,,,,test,0,0.4,PDBBIND,protein,0.0,(BDF),------|3oay
D0PY27,4tyb,N#C[C@@H](c1ccccc1)[NH+]1CCOCC1,9.901115899874396,PDBBIND,4tyb,False,D0PY27|4tyb,training,,,,,,,,validation,10,0.4,PDBBIND,training,,,,training,,,,protein,0.0,(3B1),D0PY27|4tyb
A9LI60,3g6m,Cn1cnc2c1c(=O)n(C)c(=O)n2C,9.878090048944456,PDBBIND,3g6m,False,A9LI60|3g6m,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(CFF),A9LI60|3g6m
P00811,2hdr,OC(=O)c1ccc(c(c1)O)N,9.855064198014515,PDBBIND,2hdr,False,P00811|2hdr,,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(4A3),P00811|2hdr
P62617,3ern,O[C@H]1[C@H](O)[C@H](O[C@H]1n1ccc(=N)[nH]c1=O)COP(O)(O)O,9.855064198014515,PDBBIND,3ern,False,P62617|3ern,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(CAR),P62617|3ern
O60844,3vzg,OC[C@H]1O[C@H](O[C@@H]([C@@H](C(=O)O)[NH3+])C)[C@H]([C@H]([C@@H]1O)O)O,9.855064198014515,PDBBIND,3vzg,False,O60844|3vzg,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(2-mer),O60844|3vzg
Q9L1K2,3zst,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]3[C@@H](CO)O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]3[C@H](O[C@H](O[C@@H]4[C@H](O[C@H](O[C@@H]5[C@H](O[C@H](O[C@H]1[C@@H]([C@H]2O)O)[C@H](O)[C@H]5O)CO)[C@H](O)[C@H]4O)CO)[C@@H]([C@H]3O)O)CO,9.855064198014515,PDBBIND,3zst,False,Q9L1K2|3zst,training,,,,,,,,training,,,,training,,,,training,,,,protein,0.0,(ACX),Q9L1K2|3zst
Q9I4L4,5y61,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1[nH]c(N)[nH+]c2=O)COP(O)(O)O,9.855064198014515,PDBBIND,5y61,False,Q9I4L4|5y61,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(5GP),Q9I4L4|5y61
P04746,1u2y,OC[C@H]1N/C(=N\O)/[C@@H]([C@H]([C@@H]1O)O)O,9.809012496154637,PDBBIND,1u2y,False,P04746|1u2y,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(GOX),P04746|1u2y
Q6PL18,4qsx,OC[C@@H]1CC[C@@H](O1)N1CC(=C)C(=O)NC1=O,9.809012496154637,PDBBIND,4qsx,False,Q6PL18|4qsx,validation,0,0.4,PDBBIND,training,,,,validation,10,0.4,PDBBIND,training,,,,,,,,protein,0.0,(38S),Q6PL18|4qsx
Q9I4L4,5y62,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1[nH]c(N)[nH+]c2=O)COP(O)(O)O,9.809012496154637,PDBBIND,5y62,False,Q9I4L4|5y62,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(5GP),Q9I4L4|5y62
Q8WZA1,5ggj,OC[C@H]1O[C@H](Oc2ccc(cc2)N(=O)=O)[C@H]([C@H]([C@@H]1O)O)O,9.785986645224693,PDBBIND,5ggj,False,Q8WZA1|5ggj,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(PNA),Q8WZA1|5ggj
Q6DQ34,4bgx,OC[C@H]([C@H]([C@@H]1O[C@](OC[C@H]2O[C@@H](O)[C@@H]([C@H]([C@H]2O)O)O)(C[C@@H]([C@H]1NC(=O)C)O)C(=O)O)O)O,9.739934943364814,PDBBIND,4bgx,False,Q6DQ34|4bgx,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(SIA-GAL),Q6DQ34|4bgx
P02791,3f39,Oc1ccccc1,9.716909092434873,PDBBIND,3f39,False,P02791|3f39,training,,,,,,,,training,,,,training,,,,training,,,,singlechain,0.0,(IPH),P02791|3f39
Q8WZA1,5ggl,OC[C@H]1O[C@H](Oc2ccc(cc2)N(=O)=O)[C@@H]([C@H]([C@@H]1O)O)NC(=O)C,9.716909092434873,PDBBIND,5ggl,False,Q8WZA1|5ggl,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(6ZC),Q8WZA1|5ggl
Q6WY08,2zgm,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O)O,9.693883241504931,PDBBIND,2zgm,False,Q6WY08|2zgm,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(LAT),Q6WY08|2zgm
P96945,1ga8,OC[C@@H]1C[C@H](O)[C@H]([C@@H](O1)O[C@@H]1[C@@H](CO)O[C@H]([C@@H]([C@H]1O)O)O)O,9.67085739057499,PDBBIND,1ga8,False,P96945|1ga8,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(DEL),P96945|1ga8
P00760,3rxh,C(c1c[nH]cn1)C[NH3+],9.67085739057499,PDBBIND,3rxh,False,P00760|3rxh,training,,,,,,,,training,,,,,,,,,,,,desalted,0.0,(HSM),P00760|3rxh
P02943,1af6,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,9.62480568871511,PDBBIND,1af6,False,P02943|1af6,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(GLC-FRU),P02943|1af6
P00763,1bra,NC(c1ccccc1)N,9.62480568871511,PDBBIND,1bra,False,P00763|1bra,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(BEN),P00763|1bra
P60484,1d5r,O[C@H]([C@H](C(=O)O)O)C(=O)O,9.62480568871511,PDBBIND,1d5r,False,P60484|1d5r,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(TLA),P60484|1d5r
P35439,1y1m,OC(=O)C1([NH3+])CCCC1,9.62480568871511,PDBBIND,1y1m,False,P35439|1y1m,,,,,training,,,,,,,,training,,,,training,,,,protein,0.0,(AC5),P35439|1y1m
5604,FPDWDLAITHFTTP-UHFFFAOYSA-O,[NH3+]CCNc1nnc(o1)c1ccc(c(c1Nc1ccc(cc1F)I)F)F,9.62480568871511,PDBBIND,3eqb,True,5604|FPDWDLAITHFTTP-UHFFFAOYSA-O,training,,,,,,,,test,10,0.4,docked,,,,,,,,,desalted,0.0,(LUG),5604|3eqb
P12497,4ahv,[NH3+]Cc1ccccc1n1cccn1,9.62480568871511,PDBBIND,4ahv,False,P12497|4ahv,training,,,,training,,,,training,,,,validation,random,0.6,PDBBIND,training,,,,protein,0.0,(Z5P),P12497|4ahv
P08661,1rdn,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O)O)NC(=O)C,9.578753986855231,PDBBIND,1rdn,False,P08661|1rdn,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(MAG),P08661|1rdn
P32890,1fd7,OC[C@H]1O[C@H](Oc2cccc(c2)C(=O)NCc2ccccc2)[C@@H]([C@H]([C@H]1O)O)O,9.555728135925287,PDBBIND,1fd7,False,P32890|1fd7,training,,,,training,,,,training,,,,test,0,0.2,PDBBIND,training,,,,protein,0.0,(AI1),P32890|1fd7
P00749,3khv,OCc1ccc(cc1)C[NH3+],9.555728135925287,PDBBIND,3khv,False,P00749|3khv,,,,,training,,,,test,random,0.2,PDBBIND,training,,,,training,,,,protein,0.0,(4AL),P00749|3khv
P00760,1tnl,[NH3+][C@H]1C[C@@H]1c1ccccc1,9.486650583135466,PDBBIND,1tnl,False,P00760|1tnl,training,,,,,,,,training,,,,test,0,0.2,PDBBIND,validation,10,0.2,PDBBIND,protein,0.0,(TPA),P00760|1tnl
P95468,2ay2,OC(=O)CCC1CCCCC1,9.486650583135466,PDBBIND,2ay2,False,P95468|2ay2,training,,,,training,,,,training,,,,test,random,0.4,PDBBIND,training,,,,protein,0.0,(CXP),P95468|2ay2
P08709,4x8s,COc1cc(Br)ccc1O,9.463624732205528,PDBBIND,4x8s,False,P08709|4x8s,,,,,training,,,,validation,10,0.4,PDBBIND,validation,10,0.2,PDBBIND,training,,,,desalted,0.0,(3Z7),P08709|4x8s
P80561,1f2p,[NH3+][C@H](C(=O)O)Cc1ccccc1,9.440598881275589,PDBBIND,1f2p,False,P80561|1f2p,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(PHE),P80561|1f2p
P15379,4mrh,Clc1cc(N)c(cc1C)N,9.440598881275589,PDBBIND,4mrh,False,P15379|4mrh,training,,,,,,,,training,,,,training,,,,training,,,,protein,0.0,(2CQ),P15379|4mrh
P80561,1f2o,[NH3+][C@H](C(=O)O)CC(C)C,9.417573030345649,PDBBIND,1f2o,False,P80561|1f2o,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(LEU),P80561|1f2o
P32890,1efi,OC[C@H]1O[C@H](Oc2ccc(cc2)N)[C@@H]([C@H]([C@H]1O)O)O,9.394547179415708,PDBBIND,1efi,False,P32890|1efi,training,,,,training,,,,test,random,0.2,PDBBIND,test,0,0.2,PDBBIND,training,,,,protein,0.0,(GAT),P32890|1efi
Q8A8X4,3ehn,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O)NC(=O)C,9.394547179415708,PDBBIND,3ehn,False,Q8A8X4|3ehn,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(NLC),Q8A8X4|3ehn
